annotation_id,case_id,split,is_hero,scene_major,scene_minor,chat_rows,order_rows,ticket_rows,image_path_category,ticket_type,ticket_status,ticket_id,order_verified,issue_explained,evidence_submitted,evidence_status,scope_consistency,covered,missing,promise_count,promise_classes,primary_promise_text,primary_promise_deadline,consumer_intent,service_cause,latent_need,cooperation_willingness,creates_obligation,obligation_type,current_milestone,prohibited_actions,recommended_candidate,candidate_type_contract,reference_action,decision,rule_id,rule_priority,expected_case_status,consumer_input_required,expected_next_check_at,confidence,review_status,open_questions
ANN_DEV_01,S00001,DEV_REGRESSION,true,补发换货,破损换货,聊天记录!A2:R7,订单!A45:S45,补发换货工单!A10:S10,broken_pump,REPLACEMENT,进行中,BH919209358357,true,true,true,VALID,IN_SCOPE,PRODUCT_IDENTITY;AFFECTED_COMPONENT;DAMAGE_DETAIL;PACKAGE_CONTEXT,BATCH_LABEL,2,STANDARD_APPROVED/ACTIVE;STANDARD_APPROVED/ACTIVE,收到亲，确认属包装破损，为您登记换货：先给您发全新的，收到后用包裹里的面单把坏的寄回就好，运费我们出~,,确认损坏可换并让品牌尽快发出换货商品,消费者已提交证据、客服已确认破损并创建换货单、48 小时承诺已生效，但消费者仍需自行追问是否发出,品牌主动核实补发履约进度并给出确定进展，不需要再重复举证,STABLE,true,REPLACEMENT_FULFILLMENT,AWAITING_CARRIER_PICKUP,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION;SHIFT_FOLLOW_UP_TO_CONSUMER;CLOSE_BEFORE_RESOLUTION,CHECK_REPLACEMENT_FULFILLMENT,CHECK_REPLACEMENT_FULFILLMENT,ASK_EVIDENCE,INTERVENE,E1,300,IN_FULFILLMENT,false,2026-05-07T10:27:37+08:00,HIGH,FIRST_PASS,OI-03：本例 evaluation_time 在 fixtures/demo-cases.json 中为 2026-05-07T11:00:00+08:00，晚于承诺截止 10:27:37，与 PRODUCT-FREEZE P0-4 的「承诺即将到期」口径冲突，需产品负责人裁决。 | PRODUCT-FREEZE 附录 P0-4 写「next_check_at 统一 10:30」，而 docs/04 第 3 节的回执样例写「最迟更新：2026-05-07 10:27 前」。本批按 A6「通知时间 = open_obligation.next_check_at = next_update_by 三处相等」取 10:27:37，与回执样例一致；P0-4 的 10:30 需产品负责人确认。
ANN_DEV_02,S00203,DEV_REGRESSION,false,补发换货,破损换货,聊天记录!A899:R905,订单!A113:S113,补发换货工单!A23:S23,broken_pump,REPLACEMENT,已完结,BH946416168326,true,true,true,VALID,IN_SCOPE,PRODUCT_IDENTITY;AFFECTED_COMPONENT;DAMAGE_DETAIL,PACKAGE_CONTEXT;BATCH_LABEL,2,STANDARD_APPROVED/ACTIVE;STANDARD_APPROVED/ACTIVE,收到亲，确认属包装破损，为您登记换货：先给您发全新的，收到后用包裹里的面单把坏的寄回就好，运费我们出~,,尽快完成换货，拿到可正常使用的商品,同一批次到手破损问题重复出现，消费者已举证但需要品牌继续推进换货,品牌主动跟踪补发，不要让消费者再次举证或催促,STABLE,true,REPLACEMENT_FULFILLMENT,IN_TRANSIT,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION;CLOSE_BEFORE_RESOLUTION,CHECK_REPLACEMENT_FULFILLMENT,CHECK_REPLACEMENT_FULFILLMENT,ASK_EVIDENCE,INTERVENE,E1,300,IN_FULFILLMENT,false,2026-05-14T09:09:05+08:00,MEDIUM,FIRST_PASS,工单 完成时间 11:52:15 晚于会话最后一条消息 09:09:35，说明赛事记录是在会话结束后才补记工单结果，评估时点需按约定 1 取最晚值。
ANN_DEV_03,S00018,DEV_REGRESSION,false,补发换货,错发色号,聊天记录!A123:R130,订单!A35:S35,补发换货工单!A7:S7,wrong_shade,REPLACEMENT,已完结,BH697811247059,true,true,true,VALID,IN_SCOPE,PRODUCT_IDENTITY;AFFECTED_COMPONENT;DAMAGE_DETAIL,PACKAGE_CONTEXT,1,STANDARD_APPROVED/ACTIVE,好的亲，换货工单已创建，今天为您发出#05枫叶红，包裹里附退货面单，您把#01赤茶红原样放进去交给快递员就行，全程不用您花一分钱~,2026-05-05T23:59:59+08:00,拿到正确色号的商品,仓库发错色号，消费者被迫先举证再选择处理方案,品牌直接确认问题并给出无需消费者额外负担的换货路径,DECLINING,true,REPLACEMENT_FULFILLMENT,IN_TRANSIT,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION;SHIFT_FOLLOW_UP_TO_CONSUMER;CLOSE_BEFORE_RESOLUTION,CHECK_REPLACEMENT_FULFILLMENT,CHECK_REPLACEMENT_FULFILLMENT,ASK_EVIDENCE,INTERVENE,E1,300,IN_FULFILLMENT,false,2026-05-05T21:56:38+08:00,HIGH,FIRST_PASS,
ANN_DEV_04,S00031,DEV_REGRESSION,false,补发换货,错发色号,聊天记录!A218:R225,订单!A88:S88,补发换货工单!A16:S16,wrong_shade,REPLACEMENT,已完结,BH695419716917,true,true,true,VALID,IN_SCOPE,PRODUCT_IDENTITY;DAMAGE_DETAIL,PACKAGE_CONTEXT,1,STANDARD_APPROVED/ACTIVE,好的亲，换货工单已创建，今天为您发出#05枫叶红，包裹里附退货面单，您把#01赤茶红原样放进去交给快递员就行，全程不用您花一分钱~,2026-05-06T23:59:59+08:00,换成正确色号,仓库错发色号；消费者第二次表达（配文补充证据内容）说明其已预感需要反复举证,品牌一次确认、直接换货，无需再补充说明,DECLINING,true,REPLACEMENT_FULFILLMENT,IN_TRANSIT,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION;CLOSE_BEFORE_RESOLUTION,CHECK_REPLACEMENT_FULFILLMENT,CHECK_REPLACEMENT_FULFILLMENT,ASK_EVIDENCE,INTERVENE,E1,300,IN_FULFILLMENT,false,2026-05-06T12:27:05+08:00,HIGH,FIRST_PASS,
ANN_DEV_05,S00023,DEV_REGRESSION,false,物流异常,包裹少件,聊天记录!A159:R166,订单!A31:S31,物流工单!A9:S9,short_item,LOGISTICS,工单组处理,WL698348054,true,true,true,VALID,IN_SCOPE,PRODUCT_IDENTITY;PACKAGE_CONTEXT;DAMAGE_DETAIL,AFFECTED_COMPONENT,2,STANDARD_APPROVED/ACTIVE;STANDARD_APPROVED/ACTIVE,收到亲，已登记少件工单，仓库正在复核出库录像，24小时内给您结果；若确认漏发，立即补发缺少商品~,2026-05-06T21:39:23+08:00,拿回缺少的商品,仓库分拣遗漏导致少件，消费者需先举证再等待仓库复核,尽早补发并主动告知结果，不要反复索要证据,STABLE,true,REPLACEMENT_FULFILLMENT,AWAITING_CARRIER_PICKUP,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION;CLOSE_BEFORE_RESOLUTION,CHECK_REPLACEMENT_FULFILLMENT,CHECK_REPLACEMENT_FULFILLMENT,ASK_EVIDENCE,INTERVENE,E1,300,IN_FULFILLMENT,false,2026-05-06T09:39:23+08:00,HIGH,FIRST_PASS,第 7 条客服消息含句内自我更正（到付→包邮），是本批唯一的承诺更正正例，建议在复审时重点确认分类口径。 | 禁止项到动作的映射缺口：docs/03-firewall-rules.md 规定 SHIFT_FOLLOW_UP_TO_CONSUMER 受阻的是「把已完成输入后的履约跟进交回消费者的动作」，但 PreparedAction 的四个合法动作里没有语义完全对应的取值。本批用 CREATE_FOLLOW_UP_TASK 近似，需产品负责人确认该映射。
ANN_DEV_06,S00011,DEV_REGRESSION,false,物流异常,包裹破损,聊天记录!A76:R82,订单!A80:S80,物流工单!A2:S2,broken_parcel,LOGISTICS,工单组处理,WL101842381,true,true,true,VALID,IN_SCOPE,PRODUCT_IDENTITY;AFFECTED_COMPONENT;DAMAGE_DETAIL;PACKAGE_CONTEXT,BATCH_LABEL,4,STANDARD_APPROVED/ACTIVE;AMBIGUOUS/IGNORED;STANDARD_APPROVED/ACTIVE;STANDARD_APPROVED/ACTIVE,收到照片了亲，确认是运输破损，实在抱歉！这边直接给您原地址补发一件全新的面霜，破损的不用寄回，您处理掉就好，注意安全哈~,,让品牌处理运输破损并尽快收到完好的商品,运输破损导致商品无法使用，消费者需要提交证据并等待补发,无需寄回、无需反复举证，品牌直接补发并主动同步时效,STABLE,true,REPLACEMENT_FULFILLMENT,AWAITING_CARRIER_PICKUP,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION;CLOSE_BEFORE_RESOLUTION,CHECK_REPLACEMENT_FULFILLMENT,CHECK_REPLACEMENT_FULFILLMENT,ASK_EVIDENCE,INTERVENE,E1,300,IN_FULFILLMENT,false,2026-05-06T09:20:44+08:00,MEDIUM,FIRST_PASS,同一条客服消息内同时存在确定承诺、模糊表达与安抚赠品三类内容，本批按三条分别标注；复审时需确认是否与 B 线的抽取粒度一致。
ANN_DEV_07,S00064,DEV_REGRESSION,false,补发换货,少发正装,聊天记录!A450:R456,订单!A62:S62,补发换货工单!A14:S14,missing_item,REPLACEMENT,已完结,BH877117054803,true,true,true,VALID,IN_SCOPE,PRODUCT_IDENTITY;PACKAGE_CONTEXT;DAMAGE_DETAIL,AFFECTED_COMPONENT,3,STANDARD_APPROVED/ACTIVE;STANDARD_APPROVED/ACTIVE;AMBIGUOUS/IGNORED,收到亲，已为您登记加急工单。仓库复核出库视频确认面霜漏装，真的非常抱歉！马上为您补发，今天顺丰发出，并附赠测试发膜体验装30ml一份向您赔罪~,2026-05-07T23:59:59+08:00,拿回被漏发的商品并让问题尽快解决,仓库漏装正装商品，消费者被迫举证并以投诉施压,品牌确认责任、快速补发，且不再要求重复举证,LOW,true,REPLACEMENT_FULFILLMENT,IN_TRANSIT,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION;CLOSE_BEFORE_RESOLUTION,CHECK_REPLACEMENT_FULFILLMENT,CHECK_REPLACEMENT_FULFILLMENT,ASK_EVIDENCE,INTERVENE,E1,300,IN_FULFILLMENT,false,2026-05-08T09:01:57+08:00,MEDIUM,FIRST_PASS,
ANN_DEV_08,S00029,DEV_REGRESSION,false,退款打款,退款金额少退补打,聊天记录!A206:R213,订单!A3:S3,线下打款工单!A6:S6,refund_screenshot,OFFLINE_PAYMENT,已完结,HV7607477945,true,true,true,MISMATCHED,OUT_OF_SCOPE,PRODUCT_IDENTITY,,2,APPROVAL_REQUIRED/PENDING_APPROVAL;STANDARD_APPROVED/ACTIVE,亲亲，核对了您的订单：系统按商品价退款，把您付的补差运费23.5元漏算了，实在抱歉！差额这边走线下打款补给您~,,拿到被少退的 23.5 元差额,系统退款漏算补差运费，需要消费者自行发现问题并提出,退款金额一次算准，不需要消费者对账,DECLINING,true,OFFLINE_PAYMENT,,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION,OFFLINE_PAYMENT_REVIEW,HUMAN_EVIDENCE_REVIEW,CHECK_REPLACEMENT_PROGRESS,ALLOW,E0_NO_RULE_MATCHED,0,ACTION_REVIEW,false,2026-05-07T09:09:58+08:00,MEDIUM,FIRST_PASS,本案例同时包含「APPROVAL_REQUIRED 的资金承诺」与「可放行的索证动作」，两者分属不同规则层，复审时需确认 expected_decision 的参考动作口径。
ANN_DEV_09,S00362,DEV_REGRESSION,false,退款打款,售后期关闭过敏退款,聊天记录!A972:R979,订单!A41:S41,线下打款工单!A8:S8,refund_screenshot,OFFLINE_PAYMENT,进行中,HV8045912170,true,true,false,MISMATCHED,OUT_OF_SCOPE,,PRODUCT_IDENTITY;AFFECTED_COMPONENT;DAMAGE_DETAIL,2,APPROVAL_REQUIRED/PENDING_APPROVAL;CONDITIONAL/PENDING_APPROVAL,亲别担心，查到您的退货已入库验收无误，只是平台售后期已过无法原路退款。这边走线下打款流程给您退，一分不会少的~,,拿回已退货但未到账的 12 元退款,平台售后期关闭导致原路退款失败，退款责任需要线下补付,品牌直接完成线下打款，不需要消费者反复确认流程,DECLINING,true,OFFLINE_PAYMENT,,ASK_SAME_EVIDENCE,OFFLINE_PAYMENT_REVIEW,HUMAN_EVIDENCE_REVIEW,CHECK_REPLACEMENT_PROGRESS,ALLOW,E0_NO_RULE_MATCHED,0,ACTION_REVIEW,false,2026-05-19T09:25:36+08:00,MEDIUM,FIRST_PASS,本案例上下文涉及过敏退货，但赛事工单类型为「线下打款工单」而非不良反应工单；复审需确认是否需要按 H1 转人工，还是仅按资金类人工审批处理。
ANN_DEV_10,S00154,DEV_REGRESSION,false,不良反应,过敏就医,聊天记录!A830:R838,订单!A29:S29,不良反应工单!A8:S8,consult_card,ADVERSE_REACTION,已完结,BLFY27898314,true,true,true,NEED_HUMAN_REVIEW,UNDETERMINED,PRODUCT_IDENTITY,AFFECTED_COMPONENT;DAMAGE_DETAIL,3,APPROVAL_REQUIRED/PENDING_APPROVAL;STANDARD_APPROVED/ACTIVE;CONDITIONAL/PENDING_APPROVAL,收到资料，已为您建立不良反应专项工单并升级处理。方案：①商品全额退款；②凭医疗票据报销本次门诊费用；③专员24小时内电话回访跟进恢复情况。您看可以吗？,,获得医疗费用补偿与退货退款，并确认产品安全性,使用后出现就医级不良反应，消费者需要品牌承担处置责任,被认真对待、尽快获得明确处置方案，而不是被反复询问或推诿,DECLINING,true,ADVERSE_REACTION_HANDOFF,,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION,HUMAN_ADVERSE_REACTION_HANDOFF,HUMAN_EVIDENCE_REVIEW,ASK_EVIDENCE,HUMAN_REVIEW,H1,200,ACTION_REVIEW,false,2026-05-12T16:22:04+08:00,HIGH,FIRST_PASS,该案例含健康类敏感信息（症状、就医事实），已按治理要求掩码；标注文件本身保留业务事实用于评测，不外发。
